po_id,po_date,supplier_id,supplier_name,category,subcategory,department,country,amount_usd,currency,payment_terms,status,invoice_id,invoice_date,quantity,unit_price
PO-0001,2024-01-05,SUP-101,Acme Corp,IT,Hardware,Engineering,USA,15200.00,USD,Net 30,Paid,INV-5001,2024-01-20,8,1900.00
PO-0002,2024-01-08,SUP-102,Global Supplies,Office,Stationery,HR,UK,3400.50,GBP,Net 15,Paid,INV-5002,2024-01-18,200,17.00
PO-0003,2024-01-10,SUP-103,TechParts Ltd,IT,Software,IT,Germany,22000.00,EUR,Net 45,Paid,INV-5003,2024-02-01,5,4400.00
PO-0004,2024-01-15,SUP-104,BuildRight Co,Facilities,Maintenance,Operations,USA,8750.00,USD,Net 30,Paid,INV-5004,2024-02-10,1,8750.00
PO-0005,2024-01-18,SUP-101,Acme Corp,IT,Laptops,Engineering,USA,32000.00,USD,Net 30,Paid,INV-5005,2024-02-05,16,2000.00
PO-0006,2024-01-22,SUP-105,SafeGuard Inc,Security,Consulting,Legal,USA,11000.00,USD,Net 60,Pending,,, ,11000.00
PO-0007,2024-01-25,SUP-106,FastFreight,Logistics,Shipping,Operations,Canada,4200.00,CAD,Net 15,Paid,INV-5006,2024-02-05,1,4200.00
PO-0008,2024-02-01,SUP-107,MediSupply,HR,Training,HR,India,5600.00,INR,Net 30,Paid,INV-5007,2024-02-20,4,1400.00
PO-0009,2024-02-03,SUP-102,Global Supplies,Office,Furniture,Admin,UK,9800.00,GBP,Net 30,Paid,INV-5008,2024-02-25,7,1400.00
PO-0010,2024-02-07,SUP-108,CloudNet,IT,Cloud Services,IT,USA,18000.00,USD,Net 30,Paid,INV-5009,2024-03-01,12,1500.00
PO-0011,2024-02-10,SUP-109,PrintPro,Marketing,Print,Marketing,USA,2100.00,USD,Net 15,Paid,INV-5010,2024-02-22,300,7.00
PO-0012,2024-02-14,SUP-110,GreenClean,Facilities,Cleaning,Operations,USA,3600.00,USD,Net 30,Paid,INV-5011,2024-03-05,1,3600.00
PO-0013,2024-02-18,SUP-103,TechParts Ltd,IT,Networking,IT,Germany,14500.00,EUR,Net 45,Pending,,,1,14500.00
PO-0014,2024-02-20,SUP-111,AdVision,Marketing,Digital Ads,Marketing,USA,25000.00,USD,Net 30,Paid,INV-5012,2024-03-15,1,25000.00
PO-0015,2024-02-25,SUP-104,BuildRight Co,Facilities,Renovation,Operations,USA,47000.00,USD,Net 60,Approved,,,1,47000.00
PO-0016,2024-03-01,SUP-112,LegalEagle,Legal,Advisory,Legal,USA,13000.00,USD,Net 30,Paid,INV-5013,2024-03-20,2,6500.00
PO-0017,2024-03-04,SUP-113,DataSolutions,IT,Analytics,IT,USA,30000.00,USD,Net 45,Paid,INV-5014,2024-04-01,1,30000.00
PO-0018,2024-03-06,SUP-105,SafeGuard Inc,Security,Audit,Legal,USA,8500.00,USD,Net 60,Pending,,,1,8500.00
PO-0019,2024-03-10,SUP-106,FastFreight,Logistics,Freight,Operations,Canada,6300.00,CAD,Net 15,Paid,INV-5015,2024-03-22,1,6300.00
PO-0020,2024-03-12,SUP-114,OfficePlus,Office,Supplies,Admin,USA,1200.00,USD,Net 15,Paid,INV-5016,2024-03-20,60,20.00
PO-0021,2024-03-15,SUP-101,Acme Corp,IT,Monitors,Engineering,USA,9600.00,USD,Net 30,Paid,INV-5017,2024-03-30,12,800.00
PO-0022,2024-03-18,SUP-107,MediSupply,HR,Benefits,HR,India,,INR,Net 30,Cancelled,,,, 
PO-0023,2024-03-20,SUP-115,EcoSupply,Facilities,Waste Mgmt,Operations,Australia,4100.00,AUD,Net 30,Paid,INV-5018,2024-04-05,1,4100.00
PO-0024,2024-03-22,SUP-108,CloudNet,IT,Storage,IT,USA,7200.00,USD,Net 30,Paid,INV-5019,2024-04-10,4,1800.00
PO-0025,2024-03-25,SUP-109,PrintPro,Marketing,Brochures,Marketing,USA,3500.00,USD,Net 15,Paid,INV-5020,2024-04-05,500,7.00
PO-0026,2024-03-28,SUP-116,TalentFirst,HR,Recruitment,HR,USA,15000.00,USD,Net 30,Paid,INV-5021,2024-04-15,1,15000.00
PO-0027,2024-04-01,SUP-117,AutoParts,Operations,Vehicles,Operations,USA,55000.00,USD,Net 60,Approved,,,2,27500.00
PO-0028,2024-04-03,SUP-110,GreenClean,Facilities,Gardening,Operations,USA,2800.00,USD,Net 30,Paid,INV-5022,2024-04-18,1,2800.00
PO-0029,2024-04-05,SUP-103,TechParts Ltd,IT,Servers,IT,Germany,62000.00,EUR,Net 45,Paid,INV-5023,2024-05-01,4,15500.00
PO-0030,2024-04-08,SUP-111,AdVision,Marketing,Social Media,Marketing,USA,12000.00,USD,Net 30,Paid,INV-5024,2024-04-25,1,12000.00
PO-0031,2024-04-10,SUP-112,LegalEagle,Legal,Compliance,Legal,USA,9500.00,USD,Net 30,Pending,,,1,9500.00
PO-0032,2024-04-12,SUP-118,FoodServices,HR,Catering,HR,USA,4800.00,USD,Net 15,Paid,INV-5025,2024-04-22,1,4800.00
PO-0033,2024-04-15,SUP-114,OfficePlus,Office,Ergonomics,Admin,USA,6700.00,USD,Net 30,Paid,INV-5026,2024-04-30,10,670.00
PO-0034,2024-04-18,SUP-119,SecureIT,IT,Cybersecurity,IT,USA,28000.00,USD,Net 45,Approved,,,1,28000.00
PO-0035,2024-04-20,SUP-116,TalentFirst,HR,L&D,HR,USA,11000.00,USD,Net 30,Paid,INV-5027,2024-05-05,2,5500.00
PO-0036,2024-04-22,SUP-120,TransGlobal,Logistics,Import Duty,Operations,Singapore,3200.00,SGD,Net 15,Paid,INV-5028,2024-05-02,1,3200.00
PO-0037,2024-04-25,SUP-104,BuildRight Co,Facilities,HVAC,Operations,USA,19500.00,USD,Net 60,Paid,INV-5029,2024-05-20,1,19500.00
PO-0038,2024-04-28,SUP-113,DataSolutions,IT,BI Tools,IT,USA,22000.00,USD,Net 45,Pending,,,1,22000.00
PO-0039,2024-04-30,SUP-102,Global Supplies,Office,Paper,Admin,UK,870.00,GBP,Net 15,Paid,INV-5030,2024-05-10,2000,0.44
PO-0040,2024-05-02,SUP-121,MediaMax,Marketing,Events,Marketing,USA,34000.00,USD,Net 30,Approved,,,1,34000.00
PO-0041,2024-05-05,SUP-101,Acme Corp,IT,Tablets,Engineering,USA,11200.00,USD,Net 30,Paid,INV-5031,2024-05-20,8,1400.00
PO-0042,2024-05-07,SUP-108,CloudNet,IT,SaaS,IT,USA,16000.00,USD,Net 30,Paid,INV-5032,2024-06-01,8,2000.00
PO-0043,2024-05-10,SUP-115,EcoSupply,Facilities,Recycling,Operations,Australia,2300.00,AUD,Net 30,Paid,INV-5033,2024-05-25,1,2300.00
PO-0044,2024-05-12,,Unknown Vendor,IT,Hardware,IT,USA,5000.00,USD,Net 30,Pending,,,2,2500.00
PO-0045,2024-05-14,SUP-117,AutoParts,Operations,Spare Parts,Operations,USA,8700.00,USD,Net 30,Paid,INV-5034,2024-05-28,3,2900.00
PO-0046,2024-05-16,SUP-119,SecureIT,IT,Pen Testing,IT,USA,15000.00,USD,Net 45,Pending,,,1,15000.00
PO-0047,2024-05-20,SUP-118,FoodServices,HR,Catering,HR,USA,5200.00,USD,Net 15,Paid,INV-5035,2024-05-30,1,5200.00
PO-0048,2024-05-22,SUP-120,TransGlobal,Logistics,Warehousing,Operations,Singapore,7800.00,SGD,Net 30,Paid,INV-5036,2024-06-05,1,7800.00
PO-0049,2024-05-25,SUP-112,LegalEagle,Legal,Contract Review,Legal,USA,6000.00,USD,Net 30,Paid,INV-5037,2024-06-08,3,2000.00
PO-0050,2024-05-28,SUP-122,ConsultPro,IT,ERP Consulting,IT,USA,,USD,Net 60,Cancelled,,,, 
